D,AZ,ELEV,TILT,CLASS,FQ,OBS,RSRP
216.2920084,53.22478911,6.593245519,3.593245519,3,1800,0,-74
213.9878049,53.58413107,6.663605944,3.663605944,3,1800,0,-75
211.8540468,54.12639425,6.730108039,3.730108039,3,1800,0,-76
210.7969617,54.82310456,6.763545674,3.763545674,3,1800,0,-76
210.7969617,54.82310456,6.763545674,3.763545674,3,1800,0,-76
210.6694906,55.61582719,6.767600186,3.767600186,3,1800,0,-76
212.318565,56.30268521,6.715518295,3.715518295,3,1800,0,-74
213.9653338,56.9503821,6.664299475,3.664299475,3,1800,0,-80
216.9553438,57.32407106,6.573263525,3.573263525,3,1800,0,-81
219.9590417,57.59601022,6.484270616,3.484270616,3,1800,0,-82
222.9675882,57.86061655,6.397507346,3.397507346,3,1800,0,-81
226.7908695,58.02167394,6.290528925,3.290528925,3,1800,0,-82
231.3545748,58.11733156,6.167407608,3.167407608,3,1800,0,-78
235.0751342,58.27695428,6.070530038,3.070530038,3,1800,0,-77
239.745858,58.35608048,5.953121762,2.953121762,3,1800,0,-77
244.3468962,58.46515179,5.609656285,2.609656285,3,1800,0,-76
248.9133813,58.54592842,5.507381918,2.507381918,3,1800,0,-74
254.3223964,58.55987534,5.390946561,2.390946561,3,1800,0,-72
258.8894453,58.6358684,5.296390934,2.296390934,3,1800,0,-70
264.2630386,58.62460517,5.189286788,2.189286788,3,1800,0,-70
268.7236807,58.62931665,5.103606649,2.103606649,3,1800,0,-70
273.9565414,58.60396273,5.006622609,2.006622609,3,1800,0,-71
278.5224483,58.6015508,4.720695467,1.720695467,3,1800,0,-71
283.7199473,58.55629921,4.634596712,1.634596712,3,1800,0,-71
288.9876472,58.48477961,4.550474823,1.550474823,3,1800,0,-73
295.0288478,58.32033739,4.457675822,1.457675822,3,1800,0,-73
300.1229111,58.22197326,4.382311811,1.382311811,3,1800,0,-73
305.2542461,58.08073697,4.308924795,1.308924795,3,1800,0,-74
311.1985439,57.87429993,4.409989084,1.409989084,3,1800,0,-74
316.0931729,57.67299992,4.161698818,1.161698818,3,1800,0,-74
321.8785303,57.38664888,4.087153376,1.087153376,3,1800,0,-79
